osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
215521858,footway,,,,False,False,74.78259880686716,"LINESTRING (121.2461 14.1775991, 121.2460971 14.1775526, 121.2461023 14.1774428, 121.2461836 14.1772663, 121.2463179 14.176971)",30.0,,,,,,,
113355871,footway,,,,False,False,8.448621997470903,"LINESTRING (121.2468589 14.1774648, 121.2468136 14.1775268)",30.0,,,,,,,
1330418541,footway,,,,False,True,54.2731617336587,"LINESTRING (121.2468589 14.1774648, 121.2463646 14.1775573)",30.0,,,,,,,
113355871,footway,,,,False,True,249.19100464408962,"LINESTRING (121.2468589 14.1774648, 121.2471409 14.177079, 121.2475536 14.1765298, 121.2481954 14.1756365)",30.0,,,,,,,
1330418541,footway,,,,False,False,109.08376361021006,"LINESTRING (121.2468589 14.1774648, 121.2468817 14.1774605, 121.2471317 14.1774137, 121.2475698 14.1773132, 121.2478497 14.1772678)",30.0,,,,,,,
1330418542,footway,,,,False,False,5.226525279510677,"LINESTRING (121.2422207 14.1785699, 121.2421723 14.1785672)",30.0,,,,,,,
1330418542,footway,,,,False,True,33.73128497079549,"LINESTRING (121.2422207 14.1785699, 121.2422486 14.1784465, 121.2424281 14.1784141)",30.0,,,,,,,
1330418544,footway,,,,False,False,125.28479319126632,"LINESTRING (121.2422207 14.1785699, 121.2420737 14.1791874, 121.2419815 14.1796119, 121.2419757 14.1796708)",30.0,,,,,,,
1330418542,footway,,,,False,True,4.909800411776587,"LINESTRING (121.2421268 14.1785653, 121.2421723 14.1785672)",30.0,,,,,,,
1330418542,footway,,,,False,False,46.646972076645824,"LINESTRING (121.2421268 14.1785653, 121.2421422 14.1784763, 121.2418114 14.1785508)",30.0,,,,,,,
1330418545,footway,,,,False,False,74.6931694525239,"LINESTRING (121.2421268 14.1785653, 121.2420744 14.1788157, 121.2420531 14.1789143, 121.2420246 14.179036, 121.2419931 14.1791636, 121.2419804 14.1792218)",30.0,,,,,,,
1174216007,service,,,,False,False,4.7601385469249315,"LINESTRING (121.2412824 14.17867, 121.2412833 14.1786272)",25.846456692913385,,,no,,,,
1330418542,footway,,,,False,False,24.199208664886125,"LINESTRING (121.2412824 14.17867, 121.2410617 14.1787097)",30.0,,,,,,,
1330418542,footway,,,,False,True,21.958974525858288,"LINESTRING (121.2412824 14.17867, 121.2414808 14.1786253)",30.0,,,,,,,
"[1174216008, 1174009315, 1174216007]",service,,,,False,True,41.97530881981899,"LINESTRING (121.2412824 14.17867, 121.241282 14.1788154, 121.2412812 14.1789769, 121.2412812 14.1789851, 121.2413453 14.1789906)",25.846456692913385,,,no,,,,
1178249868,footway,,,,False,True,3.607603799280346,"LINESTRING (121.2403353 14.1788403, 121.2403455 14.1788094)",30.0,,,,,,,
1330418542,footway,,,,False,False,17.269623399213085,"LINESTRING (121.2403353 14.1788403, 121.2401771 14.1788647)",30.0,,,,,,,
1330418542,footway,,,,False,True,49.230354779818605,"LINESTRING (121.2403353 14.1788403, 121.2407843 14.1787596)",30.0,,,,,,,
