source_node_id,target_node_id,road_length,road_type,name,one-way,max_speed,access,lanes
253797515,8893791537,4.946127387790543,residential,Unnamed,False,31.86,private,
253797515,8893770012,84.0478528380712,residential,Unnamed,False,31.86,private,
253797855,382044812,28.106204713660848,unclassified,Bangkal Road,False,40.0,Uncategorized,2
253797855,382044970,18.379525720553627,footway,Unnamed,False,30.0,Uncategorized,
253797855,382044700,99.26298076557308,unclassified,Bangkal Road,False,40.0,Uncategorized,2
253798376,8065890732,190.82528898220053,residential,Unnamed,False,31.86,Uncategorized,
253798376,8065890715,63.55853288694902,tertiary,M. Simon Street,False,33.15,Uncategorized,
253798376,8065890687,292.81204127381767,tertiary,Kanluran Street,False,33.15,Uncategorized,
253798383,12309655757,128.1823215301276,unclassified,V. Menguito,False,33.07,Uncategorized,
253798383,8887041601,17.214884672506123,unclassified,V. Menguito,False,33.07,Uncategorized,
253798383,8887041596,27.10975416760641,service,Unnamed,False,25.85,Uncategorized,
253799221,8292796620,2.643667112013541,unclassified,Unnamed,False,33.07,private,2
253799221,8292705510,32.52552365445247,service,Unnamed,False,25.85,private,
253799221,7729311827,44.72765791271059,unclassified,Unnamed,False,33.07,private,2
253799545,253789150,120.79001431614637,service,Road 26 North,False,25.85,private,2
253799545,8893797458,93.45594356369497,service,Unnamed,False,25.85,private,2
253799545,1143683887,572.2661126677538,service,Unnamed,False,25.85,private,
253800336,1136874449,108.01533116048921,residential,Unnamed,False,31.86,Uncategorized,
253800336,3049478671,135.38983286913788,residential,Unnamed,False,31.86,Uncategorized,
253800336,1252148994,111.13460234482949,tertiary,M. Escobin,False,33.15,Uncategorized,
253800336,1136874685,99.77811449271489,tertiary,M. Simon Street,False,33.15,Uncategorized,
253800534,253763439,40.67928713448502,residential,Unnamed,False,31.86,private,
253800534,253772405,166.61780487631637,residential,Unnamed,False,31.86,private,
253800534,8893791537,233.12909373217605,residential,Unnamed,False,31.86,private,
253800876,11787254203,35.80032799221713,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253800876,8386829458,54.18652654366637,service,Unnamed,False,25.85,Uncategorized,
253800876,8887041591,46.653193710719876,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253801008,1342019442,71.00350387188763,residential,Unnamed,False,31.86,Uncategorized,
253801008,1342019430,42.26552985814653,residential,Unnamed,False,31.86,Uncategorized,
253801008,1342019375,22.023982411285814,residential,Unnamed,False,31.86,Uncategorized,
253801343,7874284522,44.713769764717455,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253801343,12309592312,5.558757127247408,residential,Lajarca,False,31.86,Uncategorized,
253801343,1252148938,64.39456067374192,tertiary,J. Aquino Street,False,33.15,Uncategorized,
253801775,290582888,65.31876621284151,residential,Apitong Street,False,31.86,Uncategorized,
253801775,253790735,54.86842416130126,residential,Apitong Street,False,31.86,Uncategorized,
253801775,253502688,179.4462029978938,residential,Molave Street,False,31.86,Uncategorized,
253802027,253507774,186.1835186959659,service,Unnamed,False,25.85,private,
253802027,1143684048,120.95373086187618,service,Unnamed,False,25.85,private,
253802027,253781169,393.1149423516837,service,Unnamed,False,25.85,private,
253804057,253778898,584.0036374736869,path,Unnamed,False,30.0,Uncategorized,
253804131,7729311810,69.73373750822736,service,Unnamed,False,25.85,private,
253804131,7729311805,53.70546818216542,unclassified,Unnamed,False,33.07,private,2
253804131,1143683966,148.50959359029702,unclassified,Unnamed,False,33.07,private,2
253804148,12186673235,4.689798969368402,residential,Samat Street,False,30.0,Uncategorized,2
253804148,12254024699,5.092154056275337,service,Unnamed,False,25.85,Uncategorized,
253804148,12257218665,6.523829064114876,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253804148,435147994,58.84447149978352,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253804871,8386142330,51.17057341969103,residential,Lajarca,False,31.86,Uncategorized,
253804871,8896459298,21.6375469099967,residential,Lajarca,False,31.86,Uncategorized,
253804871,8896459291,40.65114982146745,residential,Unnamed,False,31.86,Uncategorized,
253805017,12186673182,5.364577024472613,service,Unnamed,True,30.0,Uncategorized,
253805017,382802198,49.3899794710109,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253805017,4737366923,18.238171280183437,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253806107,1711049933,43.02268173060715,tertiary,Unnamed,False,33.15,Uncategorized,
253806107,454088018,42.277690452232804,tertiary,Unnamed,False,33.15,Uncategorized,
253806107,253781337,194.16408761935543,tertiary,Unnamed,False,33.15,Uncategorized,
290582856,290583039,190.65676453768364,residential,Unnamed,False,31.86,Uncategorized,
290582856,8893749290,60.464007700967045,residential,Unnamed,False,40.0,Uncategorized,2
290582856,638898769,152.03483469471374,residential,Unnamed,False,40.0,Uncategorized,2
290582888,253801775,65.31876621284151,residential,Apitong Street,False,31.86,Uncategorized,
290582888,253765821,196.61889906827196,residential,Unnamed,False,40.0,Uncategorized,2
290582888,8893749290,111.59880252205174,residential,Unnamed,False,40.0,Uncategorized,2
290583039,253790735,42.72898865769034,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
290583039,290582856,190.65676453768364,residential,Unnamed,False,31.86,Uncategorized,
290583039,253790207,123.52250006249417,residential,Unnamed,False,31.86,Uncategorized,
290585027,253508082,305.0257357557976,track,Unnamed,False,30.0,private,
290585027,1492183827,94.35555833062669,unclassified,Unnamed,False,33.07,private,2
