y,x,street_count,highway,railway,junction,geometry
14.1833573,121.2288563,3,,,,POINT (121.2288563 14.1833573)
14.1821207,121.2270256,3,,,,POINT (121.2270256 14.1821207)
14.1813257,121.2274259,3,,,,POINT (121.2274259 14.1813257)
14.1817089,121.2273247,1,,,,POINT (121.2273247 14.1817089)
14.1850359,121.2301572,4,,,,POINT (121.2301572 14.1850359)
14.1850814,121.2303254,1,,,,POINT (121.2303254 14.1850814)
14.1857177,121.2302224,3,,,,POINT (121.2302224 14.1857177)
14.1859914,121.2308,3,,,,POINT (121.2308 14.1859914)
14.1867797,121.2297722,1,,,,POINT (121.2297722 14.1867797)
14.1866827,121.2319651,3,,,,POINT (121.2319651 14.1866827)
14.1866868,121.2318709,3,,,,POINT (121.2318709 14.1866868)
14.186635,121.2319217,3,,,,POINT (121.2319217 14.186635)
14.1867037,121.2308761,3,,,,POINT (121.2308761 14.1867037)
14.1865734,121.2309261,1,,,,POINT (121.2309261 14.1865734)
14.1865651,121.2307821,1,,,,POINT (121.2307821 14.1865651)
14.1866628,121.2314332,3,,,,POINT (121.2314332 14.1866628)
14.1865276,121.2314789,1,,,,POINT (121.2314789 14.1865276)
14.1869203,121.2317616,3,,,,POINT (121.2317616 14.1869203)
14.1869488,121.2315448,1,,,,POINT (121.2315448 14.1869488)
14.1870868,121.2320763,4,,,,POINT (121.2320763 14.1870868)
14.1874779,121.2323424,3,,,,POINT (121.2323424 14.1874779)
14.1878449,121.2326411,1,,,,POINT (121.2326411 14.1878449)
14.1867303,121.2319245,4,,,,POINT (121.2319245 14.1867303)
14.1874226,121.2324379,3,,,,POINT (121.2324379 14.1874226)
14.1878137,121.232791,1,,,,POINT (121.232791 14.1878137)
14.1795517,121.2238521,4,,,,POINT (121.2238521 14.1795517)
14.179888,121.2246132,4,,,,POINT (121.2246132 14.179888)
14.1730434,121.2444919,1,,,,POINT (121.2444919 14.1730434)
14.1727514,121.2444858,3,,,,POINT (121.2444858 14.1727514)
14.1707879,121.2428903,3,,,,POINT (121.2428903 14.1707879)
14.1705373,121.2422777,3,,,,POINT (121.2422777 14.1705373)
14.1722658,121.2419653,3,,,,POINT (121.2419653 14.1722658)
14.1731003,121.2420966,3,,,,POINT (121.2420966 14.1731003)
14.1732981,121.2426301,3,,,,POINT (121.2426301 14.1732981)
14.1716594,121.2472179,3,,,,POINT (121.2472179 14.1716594)
